model,accuracy,precision,recall,f1
RandomForest,0.7113636363636363,0.7093452102695974,0.7113636363636363,0.704805406941002
DecisionTree,0.6772727272727272,0.677785977635523,0.6772727272727272,0.6732070072927151
SVM,0.65,0.681243111445901,0.65,0.636816310552716
KNN,0.6090909090909091,0.6172198870114364,0.6090909090909091,0.5902350867666802
LogisticRegression,0.5,0.4835732251268305,0.5,0.4821891173663219
Dummy,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960474
